2024-06-08 23:58:30,218 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:33,306 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:36,465 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:39,282 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:16,541 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5783683943748474, 'iter_time': 0.49828375816345216, 'epoch': 0, 'trainer_step': 2200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:22,736 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5864399048686028, 'iter_time': 0.5014723917841911, 'epoch': 0, 'trainer_step': 2300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:28,932 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5787250459194183, 'iter_time': 0.49856365859508517, 'epoch': 0, 'trainer_step': 2400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:35,126 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5887633362412452, 'iter_time': 0.5058036431670189, 'epoch': 0, 'trainer_step': 2500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:41,328 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5697246533632279, 'iter_time': 0.4989682912826538, 'epoch': 0, 'trainer_step': 2600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:47,531 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5759560418128967, 'iter_time': 0.49947283625602723, 'epoch': 0, 'trainer_step': 2700, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:53,729 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5745196229219437, 'iter_time': 0.5012744387984276, 'epoch': 0, 'trainer_step': 2800, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:59,929 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5779910683631897, 'iter_time': 0.5025088286399841, 'epoch': 0, 'trainer_step': 2900, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:06,131 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5675071686506271, 'iter_time': 0.4963249427080154, 'epoch': 0, 'trainer_step': 3000, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:12,322 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5759507614374161, 'iter_time': 0.5006027406454087, 'epoch': 0, 'trainer_step': 3100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:20:18,526 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5759111729264259, 'iter_time': 0.5027704134583473, 'epoch': 0, 'trainer_step': 3200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
